Table S2: Sites and their horizontal velocities used in the rotation poles estimation together with 
their one-sigma formal errors and post-fit residuals
----------------------------------------------------------------------------------------------------------
CODE DOMES #   Site Name        Plate       T   Lon     Lat       Ve     Vn     Se     Sn    Re     Rn (*)
                                                DEG     DEG       ---------------mm/yr---------------
----------------------------------------------------------------------------------------------------------
MAW1 66004M001 Mawson station   Antarctica  P     62.871 -67.605  -3.73  -2.06  0.006  0.006  0.272 -0.190
DAV1 66010M001 Davis            Antarctica  P     77.973 -68.577  -2.93  -5.14  0.007  0.007  0.009 -0.250
WHN0 66069M001 Westhaven nunata Antarctica  P    154.220 -79.846   5.60 -12.25  0.032  0.036  0.589 -0.063
FLM5 66061M002 Mount fleming    Antarctica  P    160.271 -77.533   8.15 -12.07  0.020  0.023  0.101  0.087
FTP4 66062M002 Fishtail point   Antarctica  P    162.565 -78.928   8.18 -11.74  0.011  0.012  0.050 -0.075
ROB4 66063M002 Cape roberts     Antarctica  P    163.190 -77.034   9.01 -11.79  0.008  0.009 -0.004  0.023
MCM4 66001M003 Mac murdo        Antarctica  P    166.669 -77.838   9.68 -11.48  0.007  0.007 -0.260  0.003
HALY 20102M001 Halat ammar      Arabia      P     36.100  29.139  27.01  23.80  0.012  0.011 -0.727  0.601
NAMA 20103M001 Namas            Arabia      P     42.045  19.211  34.53  27.57  0.008  0.007 -0.078 -0.553
JIZN 20131M001 Jizan            Arabia      P     42.104  16.699  35.98  26.98  0.041  0.035  0.051  0.049
SOLA 20101M001 Solar village -  Arabia      LP    46.401  24.911  31.72  29.33  0.007  0.007 -0.218 -0.611
BAHR 24901M002 Bahrein (juffar) Arabia      P     50.608  26.209  31.18  30.28  0.005  0.005  0.394 -0.059
YAR1 50107M004 Yarragadee       Australia   DLPR 115.347 -29.047  38.85  57.88  0.007  0.006  0.324 -0.083
PERT 50133M001 Perth            Australia   PR   115.885 -31.802  38.96  57.95  0.009  0.008 -0.443 -0.047
NNOR 50181M001 New norcia       Australia   P    116.193 -31.049  38.41  58.13  0.007  0.006  0.057 -0.152
KARR 50139M001 Karratha         Australia   P    117.097 -20.981  38.88  58.41  0.006  0.005  0.228 -0.218
ALBY 50191M001 Albany           Australia   P    117.810 -34.950  37.14  58.13  0.018  0.017 -0.296  0.159
ESPA 50177M002 Esperance        Australia   P    121.894 -33.874  34.84  58.91  0.016  0.016 -0.081 -0.016
BRO1 50176M003 Broome           Australia   P    122.209 -18.004  37.31  59.62  0.034  0.029  0.291 -0.654
DARM 50184M001 Darwin arms      Australia   P    130.891 -12.424  35.84  59.18  0.014  0.012  0.225  0.035
